protein,mean,std
Cyclin_D1,0.06200247216035634,0.3970410157491906
Cyclin_E1,0.06480135857461025,0.5775089237685337
Cyclin_E2_Caution,0.05718387527839644,0.37095980888698404
Di-Ras3_Caution,0.012877706013363029,0.17595781034796473
DJ-1,-0.01612747550111359,0.4299739715100467
Dvl3,0.01179168485523385,0.3930337491457146
E-Cadherin,0.9653961169265034,2.019452933647079
eEF2_Caution,0.1569505890868597,0.6902305266551965
eEF2K,-0.015568978841870822,0.6093503972986667
EGFR,0.024064498886414258,1.0763132916428193
EGFR_pY1068_Caution,0.16241387973273944,0.8415607988892154
EGFR_pY1173,0.013254594654788421,0.15193530063477828
eIF4E,0.009013060133630285,0.35915181084714387
eIF4G_Caution,-0.07581753563474387,0.93011183548894
ER-alpha,0.10794939420935412,0.5846326162902012
ER-alpha_pS118,0.024135966592427612,0.22859269620962125
ERCC1_Caution,0.028053677060133633,0.30029978344873803
ERK2_Caution,0.013456889755011133,0.4790399586931665
ETS-1,0.09791871380846325,0.4480045247364462
FASN,0.027413083518930955,0.8074199639400101
Fibronectin,0.40219874832962144,1.472905747481026
FoxM1,-0.05212334187082405,0.663830624053969
FOXO3a_Caution,0.06680009688195991,0.4059965019810588
FOXO3a_pS318_S321_Caution,0.012683669265033408,0.2205208967366278
FRA1_Caution,0.1264175534521158,0.7295395419945524
G6PD,0.30779146325167034,1.0718632587748143
Gab2,0.07835862806236081,1.214901732899031
GAPDH_Caution,-0.038079719376391985,1.0211793832134848
GATA3,0.1663455946547884,0.8816261076710472
GSK-3-BETA_Caution,-0.009787680400890869,0.45358610470425914
GSK3-alpha-beta,0.006112016703786191,0.33042244482543454
GSK3-alpha-beta_pS21_S9,0.015760407572383065,0.6122709642791766
GSK3_pS9,0.009618834075723828,0.6241712402800477
HER2,0.01563569599109131,1.1075518883979396
HER2_pY1248_Caution,0.1343909543429844,0.8318653419654769
HER3,0.12932358351893095,0.667851829046875
HER3_pY1289_Caution,0.032317954342984415,0.20162465032884352
Heregulin,0.17541668485523385,0.5492476108276805
